index,words,todi,words_ocr,todi_ocr,sound_file,image_file,type,page_title,exercise_id,sound_url,image_url,page_url,words_sep,todi_sep
147, Waar hebben we het nou helemaal over ,%L  H*L      L%,,,exercises/147.wav,exercises/147.png,exercise,,ex1a_1,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/147.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//147.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_1.htm,|Waar|hebben|we|het|nou|helemaal|over|,%L||H*L||||||L%
149, 't heeft toch allemaal geen zin op die manier ,%L  H*L       L%,,,exercises/149.wav,exercises/149.png,exercise,,ex1a_2,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/149.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//149.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_2.htm,|'t heeft|toch|allemaal|geen|zin|op|die|manier|,%L||H*L|||||||L%
177, Stom   dat ik daar niet aan gedacht heb ,%L H*L L% %L   H*L   H*L  L%,,,exercises/177.wav,exercises/177.png,exercise,,ex1a_3,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/177.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//177.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_3.htm,|Stom|||dat|ik|daar|niet|aan|gedacht|heb|,%L|H*L|L%|%L|||H*L|||H*L||L%
1a-4, Waar wil Jan een miljoen lenen ,%L H*L      L%,,,exercises/1a-4.wav,exercises/1a-4.png,exercise,,ex1a_4,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/1a-4.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//1a-4.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_4.htm,|Waar|wil|Jan|een|miljoen|lenen|,%L|H*L||||||L%
1a-5, Je zegt steeds iets anders ,%L     H*L L%,,,exercises/1a-5.wav,exercises/1a-5.png,exercise,,ex1a_5,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/1a-5.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//1a-5.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_5.htm,|Je|zegt|steeds|iets|anders|,%L|||||H*L|L%
158, Dat moet je straks maar even over doen ,%L    H*L   H*L  L%,,,exercises/158.wav,exercises/158.png,exercise,,ex1a_6,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/158.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//158.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_6.htm,|Dat|moet|je|straks|maar|even|over|doen|,%L||||H*L|||H*L||L%
1a-7, Dit is de eerste uitzending ,%L    H*L H*L L%,,,exercises/1a-7.wav,exercises/1a-7.png,exercise,,ex1a_7,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/1a-7.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//1a-7.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_7.htm,|Dit|is|de|eerste|uitzending|,%L||||H*L|H*L|L%
004, Om 's te kijken hoe 't 'r in de natuur uitziet al die sneeuw ,%H      H*L     L%,,,exercises/004.wav,exercises/004.png,exercise,,ex1a_8,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/004.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//004.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_8.htm,|Om 's te|kijken|hoe 't 'r|in|de|natuur|uitziet|al|die|sneeuw|,%H||||||H*L|||||L%
1a-9, Met steeds weer een nieuwe pen gaat 't beter ,%L  H*L   H*L H*L  H*L L%,,,exercises/1a-9.wav,exercises/1a-9.png,exercise,,ex1a_9,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/1a-9.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//1a-9.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_9.htm,|Met|steeds|weer|een|nieuwe|pen|gaat 't|beter|,%L||H*L|||H*L|H*L||H*L|L%
154, 't hoeft niet altijd op een mislukking uit te lopen ,%L    H*L     L%,,,exercises/154.wav,exercises/154.png,exercise,,ex1a_10,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/154.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//154.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_10.htm,|'t|hoeft|niet|altijd|op een|mislukking|uit te|lopen|,%L||||H*L|||||L%
